"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Series"
"Conference Paper","Omri S,Sinz C","Deep Learning for Software Defect Prediction: A Survey","","2020","","","209–214","Association for Computing Machinery","New York, NY, USA","Proceedings of the IEEE/ACM 42nd International Conference on Software Engineering Workshops","Seoul, Republic of Korea","2020","9781450379632","","https://doi.org/10.1145/3387940.3391463;http://dx.doi.org/10.1145/3387940.3391463","10.1145/3387940.3391463","Software fault prediction is an important and beneficial practice for improving software quality and reliability. The ability to predict which components in a large software system are most likely to contain the largest numbers of faults in the next release helps to better manage projects, including early estimation of possible release delays, and affordably guide corrective actions to improve the quality of the software. However, developing robust fault prediction models is a challenging task and many techniques have been proposed in the literature. Traditional software fault prediction studies mainly focus on manually designing features (e.g. complexity metrics), which are input into machine learning classifiers to identify defective code. However, these features often fail to capture the semantic and structural information of programs. Such information is needed for building accurate fault prediction models. In this survey, we discuss various approaches in fault prediction, also explaining how in recent studies deep learning algorithms for fault prediction help to bridge the gap between programs' semantics and fault prediction features and make accurate predictions.","software testing, software quality assurance, software defect prediction, machine learning, deep learning","ICSEW'20"
"Conference Paper","Ho A,Nhat Hai N,Thi-Mai-Anh B","Combining Deep Learning and Kernel PCA for Software Defect Prediction","","2022","","","360–367","Association for Computing Machinery","New York, NY, USA","Proceedings of the 11th International Symposium on Information and Communication Technology","Hanoi, Vietnam","2022","9781450397254","","https://doi.org/10.1145/3568562.3568587;http://dx.doi.org/10.1145/3568562.3568587","10.1145/3568562.3568587","Software defect prediction aims to automatically determine the most likely location of defective program elements (i.e., statement, method, class, module etc.). Previous studies for software defect prediction mainly focus on exploring designing features such as source code complexity, object oriented design metrics etc. to classify program elements into two categories: (i) defective and (ii) non-defective. Although these approaches have obtained promising results, there exists two significant challenges in this research field: (i) removing irrelevant and redundant information from designing structures ; (ii) reducing the impact of skewed data distribution on learning models. In this paper, we aim to address these two issues by firstly applying kernel PCA to extract essential information from designing features and secondly proposing a deep neural network model which investigates the non-linear relationship among features. In order to mitigate the class imbalance, we apply a weighted loss function combined with a bootstrapping method to handle batch training mechanism of our model. We conducted some experiments to assess the performance of our proposed approach over NASA (with 10 projects) and PROMISE (with 34 projects) datasets. In order to leverage the efficiency of kernel PCA technique in software defect prediction, we compared it to some traditional feature selection approaches over a high-dimensional dataset ECLIPSE. The empirical results showed that our proposed method has outperformed these other state-of-the-art models by effectively predicting defective source files.","kernel PCA, feature reduction, deep neural network","SoICT '22"
"Conference Paper","Tang F,He P","Software Defect Prediction using Multi-scale Structural Information","","2023","","","548–556","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2023 9th International Conference on Computing and Artificial Intelligence","Tianjin, China","2023","9781450399029","","https://doi.org/10.1145/3594315.3594371;http://dx.doi.org/10.1145/3594315.3594371","10.1145/3594315.3594371","In recent years, most researches have used the sequence of nodes in the abstract syntax tree (AST) of code to extract features for software defect prediction (SDP). While the AST is a kind of graph data, it may ignore some part of the structural information to use the original graph data as a sequence for input. Thus, Graph neural network (GNN) has been used to extract structural information in SDP. However, existing researches ignore that GNN learning is inherently local. It is difficult to interact between remote nodes and to capture long-term dependencies in source code. We apply a combination model of GNN Transformer to predict the software defects. Using an AST directly as the input, GNN extracts local features and structural information between the node and its neighbors. We then encode the relative and absolute positions of the nodes in the AST. The position encodings are passed into the Transformer along with the feature information extracted by GNN to extract the global features, which are the long-term dependencies between nodes. Finally, the extracted fused features are used in the SDP. Experiments on the PROMISE dataset have shown that our method achieves higher F-measure and better identification of defective features in source code than the state-of-the-art SDP method.","deep learning, Transformer, Software defect prediction, Graph neural network","ICCAI '23"
"Conference Paper","Qiu X,Fan P,Ren J","Convolutional Neural Network-Based Research on Software Engineering Defect Prediction","","2024","","","305–308","Association for Computing Machinery","New York, NY, USA","Proceedings of the 6th International Conference on Information Technologies and Electrical Engineering","Changde, Hunan, China","2024","","","https://doi.org/10.1145/3640115.3640164;http://dx.doi.org/10.1145/3640115.3640164","10.1145/3640115.3640164","Defect prediction plays a crucial role in software engineering by identifying potential issues before they manifest as costly problems. In this research, we focus on enhancing defect prediction techniques using Convolutional Neural Networks (CNNs). CNNs have demonstrated significant success in various domains, primarily image analysis, due to their ability to capture complex patterns and relationships within data. We propose a novel approach that leverages the power of CNNs to automatically learn and extract features from software engineering datasets, enabling improved defect prediction accuracy. Our experimental results showcase the effectiveness of the CNN-based technique in comparison to traditional methods. The proposed CNN model exhibits promising potential to advance defect prediction capabilities and contribute to the overall quality and reliability of software systems. This research opens up new avenues for applying deep learning techniques to software engineering challenges and paves the way for further exploration in this interdisciplinary field.","Convolutional Neural Network, Defect Analysis, Defect Prediction, Software Engineering, Software Quality","ICITEE '23"
"Conference Paper","Li Z,Pan M,Pei Y,Zhang T,Wang L,Li X","Robust Learning of Deep Predictive Models from Noisy and Imbalanced Software Engineering Datasets","","2023","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering","Rochester, MI, USA","2023","9781450394758","","https://doi.org/10.1145/3551349.3556941;http://dx.doi.org/10.1145/3551349.3556941","10.1145/3551349.3556941","With the rapid development of Deep Learning, deep predictive models have been widely applied to improve Software Engineering tasks, such as defect prediction and issue classification, and have achieved remarkable success. They are mostly trained in a supervised manner, which heavily relies on high-quality datasets. Unfortunately, due to the nature and source of software engineering data, the real-world datasets often suffer from the issues of sample mislabelling and class imbalance, thus undermining the effectiveness of deep predictive models in practice. This problem has become a major obstacle for deep learning-based Software Engineering. In this paper, we propose RobustTrainer, the first approach to learning deep predictive models on raw training datasets where the mislabelled samples and the imbalanced classes coexist. RobustTrainer consists of a two-stage training scheme, where the first learns feature representations robust to sample mislabelling and the second builds a classifier robust to class imbalance based on the learned representations in the first stage. We apply RobustTrainer to two popular Software Engineering tasks, i.e., Bug Report Classification and Software Defect Prediction. Evaluation results show that RobustTrainer effectively tackles the mislabelling and class imbalance issues and produces significantly better deep predictive models compared to the other six comparison approaches.","Deep Learning, Imbalanced Data, Mislabelling, Predictive Models","ASE '22"
"Conference Paper","Zeng Z,Zhang Y,Zhang H,Zhang L","Deep just-in-time defect prediction: how far are we?","","2021","","","427–438","Association for Computing Machinery","New York, NY, USA","Proceedings of the 30th ACM SIGSOFT International Symposium on Software Testing and Analysis","Virtual, Denmark","2021","9781450384599","","https://doi.org/10.1145/3460319.3464819;http://dx.doi.org/10.1145/3460319.3464819","10.1145/3460319.3464819","Defect prediction aims to automatically identify potential defective code with minimal human intervention and has been widely studied in the literature. Just-in-Time (JIT) defect prediction focuses on program changes rather than whole programs, and has been widely adopted in continuous testing. CC2Vec, state-of-the-art JIT defect prediction tool, first constructs a hierarchical attention network (HAN) to learn distributed vector representations of both code additions and deletions, and then concatenates them with two other embedding vectors representing commit messages and overall code changes extracted by the existing DeepJIT approach to train a model for predicting whether a given commit is defective. Although CC2Vec has been shown to be the state of the art for JIT defect prediction, it was only evaluated on a limited dataset and not compared with all representative baselines. Therefore, to further investigate the efficacy and limitations of CC2Vec, this paper performs an extensive study of CC2Vec on a large-scale dataset with over 310,370 changes (8.3 X larger than the original CC2Vec dataset). More specifically, we also empirically compare CC2Vec against DeepJIT and representative traditional JIT defect prediction techniques. The experimental results show that CC2Vec cannot consistently outperform DeepJIT, and neither of them can consistently outperform traditional JIT defect prediction. We also investigate the impact of individual traditional defect prediction features and find that the added-line-number feature outperforms other traditional features. Inspired by this finding, we construct a simplistic JIT defect prediction approach which simply adopts the added-line-number feature with the logistic regression classifier. Surprisingly, such a simplistic approach can outperform CC2Vec and DeepJIT in defect prediction, and can be 81k X/120k X faster in training/testing. Furthermore, the paper also provides various practical guidelines for advancing JIT defect prediction in the near future.","Software Defect Prediction, Just-In-Time Prediction, Deep Learning","ISSTA 2021"
"Conference Paper","Gesi J,Li J,Ahmed I","An Empirical Examination of the Impact of Bias on Just-in-time Defect Prediction","","2021","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 15th ACM / IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","Bari, Italy","2021","9781450386654","","https://doi.org/10.1145/3475716.3475791;http://dx.doi.org/10.1145/3475716.3475791","10.1145/3475716.3475791","Background: Just-In-Time (JIT) defect prediction models predict if a commit will introduce defects in the future. DeepJIT and CC2Vec are two state-of-the-art JIT Deep Learning (DL) techniques. Usually, defect prediction techniques are evaluated, treating all training data equally. However, data is usually imbalanced not only in terms of the overall class label (e.g., defect and non-defect) but also in terms of characteristics such as File Count, Edit Count, Multiline Comments, Inward Dependency Sum etc. Prior research has investigated the impact of class imbalance on prediction technique's performance but not the impact of imbalance of other characteristics. Aims: We aim to explore the impact of different commit related characteristic's imbalance on DL defect prediction. Method: We investigated different characteristic's impact on the overall performance of DeepJIT and CC2Vec. We also propose a Siamese network based few-shot learning framework for JIT defect prediction (SifterJIT) combining Siamese network and DeepJIT. Results: Our results show that DeepJIT and CC2Vec lose out on the performance by around 20% when trained and tested on imbalanced data. However, SifterJIT can outperform state-of-the-art DL techniques with an average of 8.65% AUC score, 11% precision, and 6% F1-score improvement. Conclusions: Our results highlight that dataset imbalanced in terms of commit characteristics can significantly impact prediction performance, and few-shot learning based techniques can help alleviate the situation.","software engineering, few-shot learning, defect prediction, Deep learning","ESEM '21"
"Conference Paper","Keshavarz H,Nagappan M","ApacheJIT: a large dataset for just-in-time defect prediction","","2022","","","191–195","Association for Computing Machinery","New York, NY, USA","Proceedings of the 19th International Conference on Mining Software Repositories","Pittsburgh, Pennsylvania","2022","9781450393034","","https://doi.org/10.1145/3524842.3527996;http://dx.doi.org/10.1145/3524842.3527996","10.1145/3524842.3527996","In this paper, we present ApacheJIT, a large dataset for Just-In-Time (JIT) defect prediction. ApacheJIT consists of clean and bug-inducing software changes in 14 popular Apache projects. ApacheJIT has a total of 106,674 commits (28,239 bug-inducing and 78,435 clean commits). Having a large number of commits makes ApacheJIT a suitable dataset for machine learning JIT models, especially deep learning models that require large training sets to effectively generalize the patterns present in the historical data to future data.","software engineering, defect prediction, dataset","MSR '22"
"Conference Paper","Chen J,Hu K,Yu Y,Chen Z,Xuan Q,Liu Y,Filkov V","Software visualization and deep transfer learning for effective software defect prediction","","2020","","","578–589","Association for Computing Machinery","New York, NY, USA","Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering","Seoul, South Korea","2020","9781450371216","","https://doi.org/10.1145/3377811.3380389;http://dx.doi.org/10.1145/3377811.3380389","10.1145/3377811.3380389","Software defect prediction aims to automatically locate defective code modules to better focus testing resources and human effort. Typically, software defect prediction pipelines are comprised of two parts: the first extracts program features, like abstract syntax trees, by using external tools, and the second applies machine learning-based classification models to those features in order to predict defective modules. Since such approaches depend on specific feature extraction tools, machine learning classifiers have to be custom-tailored to effectively build most accurate models.To bridge the gap between deep learning and defect prediction, we propose an end-to-end framework which can directly get prediction results for programs without utilizing feature-extraction tools. To that end, we first visualize programs as images, apply the self-attention mechanism to extract image features, use transfer learning to reduce the difference in sample distributions between projects, and finally feed the image files into a pre-trained, deep learning model for defect prediction. Experiments with 10 open source projects from the PROMISE dataset show that our method can improve cross-project and within-project defect prediction. Our code and data pointers are available at https://zenodo.org/record/3373409#.XV0Oy5Mza35.","cross-project defect prediction, deep transfer learning, self-attention, software visualization, within-project defect prediction","ICSE '20"
"Conference Paper","Fan M,Jia A,Liu J,Liu T,Chen W","When representation learning meets software analysis","","2020","","","17–18","Association for Computing Machinery","New York, NY, USA","Proceedings of the 1st ACM SIGSOFT International Workshop on Representation Learning for Software Engineering and Program Languages","Virtual, USA","2020","9781450381253","","https://doi.org/10.1145/3416506.3423578;http://dx.doi.org/10.1145/3416506.3423578","10.1145/3416506.3423578","In recent years, deep learning is increasingly prevalent in the field of Software Engineering (SE). Especially, representation learning, which can learn vectors from the syntactic and semantics of the code, offers much convenience and promotion for the downstream tasks such as code search and vulnerability detection. In this work, we introduce our two applications of leveraging representation learning for software analysis, including defect prediction and vulnerability detection.","vulnerability detection, representation learning, defect prediction","RL+SE&PL 2020"
