"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Model Based on Program Slice and Deep Learning for Software Defect Prediction","J. Tian; Y. Tian","School of Cyberspace Security and Computer Institute, Hebei University, Baoding, China; School of Cyberspace Security and Computer Institute, Hebei University, Baoding, China",2020 29th International Conference on Computer Communications and Networks (ICCCN),"30 Sep 2020","2020","","","1","6","Defects are inherent in software and can lead to many serious problems during the use of software. Software defect prediction is an important method for finding defects and can help developers improve their testing efficiency. To build accurate prediction models, previous software defect prediction techniques focus on design of functions related to the code of potential defects. But these methods do not adequately capture the semantic features of the program. In this paper, we propose a software defect prediction model based on program slice and deep learning. We extract program slice based on system dependence graph and leverage Gated Recurrent Unit (GRU) to generate features. We conducted experiments both within-project defect prediction and cross-project defect prediction using the dataset of the public PROMISE database. The results show that our method improves on average by 11.0% in F1-measure in within-project and 10.4% in F1-measure in cross-project defect prediction compared to the Tree-LSTM method.","2637-9430","978-1-7281-6607-0","10.1109/ICCCN49398.2020.9209658","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9209658","program slice;deep learning;software defect prediction","Software;Predictive models;Logic gates;Machine learning;Semantics;Neural networks;Data models","","13","","22","IEEE","30 Sep 2020","","","IEEE","IEEE Conferences"
"Software Defect Prediction Model Based on Deep Learning","Y. Zhang","Harbin Far East Institute of Technology, Harbin, Heilongjiang, China","2024 International Conference on Power, Electrical Engineering, Electronics and Control (PEEEC)","17 Jan 2025","2024","","","954","959","At present, under the background of the vigorous development of Internet technology and the era of the Internet of Everything, the diversification and complexity of software application scenarios are growing at an unprecedented rate. Although this trend has greatly enriched the user experience, it is also accompanied by the problem of frequent software failures. Software defects, as the key factor to weaken software reliability, are increasingly attracting extensive attention from the industry and academia. The software defect prediction model based on deep learning (DL) proposed in this article is a cutting-edge exploration in this field. This model fully utilizes the powerful ability of DL in processing large-scale and high-dimensional data, and can automatically learn complex features and patterns from historical data of software projects, achieving accurate prediction of software defects. The experimental results show that compared with traditional prediction methods, this model exhibits significant advantages in key indicators such as prediction accuracy and recall rate, effectively improving the comprehensiveness and accuracy of software defect prediction, and providing strong technical support for software testing and quality assurance work.","","979-8-3503-7891-7","10.1109/PEEEC63877.2024.00177","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10836020","Deep learning;software defects;prediction model","Software testing;Deep learning;Accuracy;Quality assurance;Computational modeling;Training data;Predictive models;Software;Data models;User experience","","","","14","IEEE","17 Jan 2025","","","IEEE","IEEE Conferences"
"Software Defect Prediction Method Based on RGB Image and Deep Learning","X. Yang; Z. Li; T. Li; W. Chu; W. Huang","Ocean College, Jiangsu University of Science and Technology, Zhenjiang, China; Ocean College, Jiangsu University of Science and Technology, Zhenjiang, China; Ocean College, Jiangsu University of Science and Technology, Zhenjiang, China; Ocean College, Jiangsu University of Science and Technology, Zhenjiang, China; Ocean College, Jiangsu University of Science and Technology, Zhenjiang, China",2023 International Symposium on Intelligent Robotics and Systems (ISoIRS),"31 Aug 2023","2023","","","169","172","At present, the new software defect prediction method based on deep learning has problems such as large training sample size, low quality of training sample, low efficiency of software defect prediction. In this paper, the exe file is converted into RGB images preprocessed to generate a self-made training set. Then the residual neural network introduced compression excitation module is used to train it. The new software to be tested was classified by improved residual neural network. Comparing the similarity of classification, the optimal training set is obtained which bring a training set is highly similar to the software tested. After obtaining the optimal training set as the training sample, a hybrid Wolf Pack Algorithm is introduced to search the optimal hyperparameters that affect the efficiency of the deep neural network algorithm, which improves the software defect prediction performance and saves the prediction time. Experimental results show that the method proposed in this paper can predict the defects of new software faster in a totally prediction time and a better performance in AUC.","","979-8-3503-3996-3","10.1109/ISoIRS59890.2023.00043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10227866","defect prediction;RGB image;compression excitation module;residual neural network;deep neural network;hyper parameter","Training;Deep learning;Image coding;Software algorithms;Prediction methods;Prediction algorithms;Software","","2","","10","IEEE","31 Aug 2023","","","IEEE","IEEE Conferences"
"Software Defect Prediction based on Machine Learning and Deep Learning","P. Tadapaneni; N. C. Nadella; M. Divyanjali; Y. Sangeetha","Department of Information Technology, V.R Siddhartha Engineering College(Autonomous), Vijayawada, India; Department of Information Technology, V.R Siddhartha Engineering College(Autonomous), Vijayawada, India; Department of Information Technology, V.R Siddhartha Engineering College(Autonomous), Vijayawada, India; Department of Information Technology, V.R Siddhartha Engineering College(Autonomous), Vijayawada, India",2022 International Conference on Inventive Computation Technologies (ICICT),"16 Aug 2022","2022","","","116","122","Software system quality can be enhanced by reducing the possible software defects in the system, this can be achieved by regular monitoring of the system for any defect alerts. Identifying the defects with the features is difficult and this system is researched less in the literature. The automated tool will be useful for maintaining high quality of the system. The defects may create a huge loss to enterprises, thus detecting early and accurately is mandatory for the system quality and helps in Software development life cycle (SDLC). The proposed work introduced machine learning algorithm Naïve Bayes and deep learning algorithm Long Short Term Memory(LSTM) and Deep Neural Network (DNN). The dataset considered for the proposed study is PROMISE dataset as a binary prediction. As the software defect prediction is binary, the classification model is opted for this study. Thus NB on ML model is used and DNN, LSTM are compared with their accuracy. Experimental study showed that DNN algorithm outperform in accurate detection of software defects.","2767-7788","978-1-6654-0837-0","10.1109/ICICT54344.2022.9850643","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9850643","Software defect prediction;Machine Learning;Naive Bayes;DNN;LSTM;PROMISE","Deep learning;Machine learning algorithms;Costs;Computational modeling;Software algorithms;Predictive models;Prediction algorithms","","8","","16","IEEE","16 Aug 2022","","","IEEE","IEEE Conferences"
"Deep Learning-Based Automated Software Defect Prediction Model","J. Fan; H. Chen","A School of Information Engineering, Xi'an Eurasia University, Xi'an, China; A School of Information Engineering, Xi'an Eurasia University, Xi'an, China",2024 4th International Symposium on Computer Technology and Information Science (ISCTIS),"4 Oct 2024","2024","","","407","411","This paper introduces a novel software defect prediction model employing deep learning techniques to enhance the automation and accuracy of identifying software faults. Traditional defect prediction approaches often fall short in effectively parsing and understanding the intricate structures and semantics encoded in source codes. This study leverages Abstract Syntax Tree (AST) features, which excel in capturing the structural and semantic aspects of code. We meticulously detail the methodology for extracting and transforming these AST features into vectors suitable for analysis. A dedicated Convolutional Neural Network (CNN) architecture is then employed to interpret these features, focusing on model optimization through advanced parameter tuning and regularization techniques. The model's efficacy was rigorously tested using the Promise public dataset and a Google code base, demonstrating significant improvements over conventional methods. The results indicate enhancements in both the Area Under the Curve (AUC) and the F1-measure, achieving scores of 0.92 and 0.85, respectively. These findings underscore the potential of deep learning in revolutionizing automated software defect prediction, highlighting its superior ability to interpret and analyze complex code structures for more reliable defect identification.","","979-8-3503-5456-0","10.1109/ISCTIS63324.2024.10699271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10699271","Deep learning;Software defect prediction;Abstract syntax tree;Convolutional neural network","Deep learning;Codes;Semantics;Predictive models;Syntactics;Feature extraction;Software;Convolutional neural networks;Tuning;Optimization","","3","","6","IEEE","4 Oct 2024","","","IEEE","IEEE Conferences"
"Revolutionizing Software Defect Prediction Through Deep Learning","S. J. G; J. Charles","Department of Computer Science, Noorul Islam for Higher Education; Department of Software Engineering, Noorul Islam Centre for Higher Education",2024 7th International Conference on Circuit Power and Computing Technologies (ICCPCT),"16 Sep 2024","2024","1","","438","442","This study aims to revolutionize software defect prediction by leveraging deep learning (DL) techniques, specifically focusing on Convolutional Neural Networks (CNN) and Stack Sparse Autoencoders (SSAE). The research involves training these models on datasets from the NASA Metrics Data Program, using metrics such as accuracy, precision, detection rate, and True Negative Rate (TNR) to evaluate their performance. The proposed methodology includes normalization of data, application of neural network architectures, and extensive experimentation with varying parameters. Results demonstrate that CNN outperforms SSAE, achieving a higher accuracy range of 0.84 to 0.93 compared to SSAE’s 0.80 to 0.90, particularly excelling on the PC1 dataset with an accuracy of 0.93. Both models, however, show strong capabilities in predicting software defects, with CNN consistently delivering better performance across diverse datasets. The study concludes that DL models, especially CNN, significantly enhance the efficiency and accuracy of software defect prediction, suggesting future research to explore additional DL techniques and larger datasets for further advancements in software quality assessment.","","979-8-3503-7281-6","10.1109/ICCPCT61902.2024.10673411","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10673411","Software Defect Prediction;Deep learning;Stacked Sparse Autoencoder;Convolutional Neural Network;Software Engineering","Training;Deep learning;Accuracy;Neural networks;NASA;Transforms;Software quality","","1","","15","IEEE","16 Sep 2024","","","IEEE","IEEE Conferences"
"Software Defect Prediction using Dimensionality Reduction and Deep Learning","M. Massoudi; N. K. Jain; P. Bansal","Software Engineering Department, Parwan University, Charikar, Afghanistan; Department of Computer Engineering, Delhi Technological University, Delhi, India; Department of Computer Engineering, Delhi Technological University, Delhi, India",2021 Third International Conference on Intelligent Communication Technologies and Virtual Mobile Networks (ICICV),"31 Mar 2021","2021","","","884","893","Software Defect Prediction is a significant angle to guarantee programming quality. Deep Learning methods can likewise be utilized for the same. In this paper, we propose to extract a bunch of expressive features from an underlying arrangement of essential change measures using different dimensionality techniques namely PCA and Kernel PCA, and then train a classifier based on the extracted features using Decision tree and Artificial Neural Networks. We utilize five open source datasets from NASA Promise Data Repository to play out this comparative study. For evaluation, we have used three widely used metrics: Accuracy, F1 scores and Areas under Receiver Operating Characteristic curve. It is found that Kernel PCA along with Artificial Neural Network as a classifier outperformed all the other techniques.","","978-1-6654-1960-4","10.1109/ICICV50876.2021.9388622","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9388622","Deep Learning;Artificial Neural Network;Principal Component Analysis;Kernel PCA;Decision Tree;Area under ROC curve","Deep learning;Artificial neural networks;Receivers;Feature extraction;Software;Kernel;Principal component analysis","","13","","25","IEEE","31 Mar 2021","","","IEEE","IEEE Conferences"
"Research on Efficient Software Defect Prediction Using Deep Learning Approaches","Razauddin; S. Madhuri G; A. Oberoi; A. Vats; A. Sivasangari; K. Siwach","Department of computer and information sciences, Gulf Colleges, Saudi Arabia; Department of CSE, Faculty of Engineering & Technology, JAIN (Deemed-to-be University), Bengaluru, Karnataka, India; Department of CSE, RIMT University, Mandi, Gobindgarh, India; Department of Journalism and Mass Communication, Faculty of Media Studies and Humanities, Manav Rachna International Institute of Research and Studies, Faridabad, Haryana, India; Department of UT, Sathyabama Institute of Science and Technology, Chennai, Tamilnadu, India; School of Media and Entertainment, SoME, GD Goenka University, Gurgaon, India",2022 2nd International Conference on Technological Advancements in Computational Sciences (ICTACS),"28 Dec 2022","2022","","","549","554","Software Defect prediction results provide a list of source code artifacts that are prone to defects. Quality assurance teams can effectively devote more energy and allocate limited resources to defect-prone source code verification software products. A module that identifies defect prediction methods for frequent defects before the start of the testing phase. Measurement-based defect-prone modules improve software quality and reduce costs, leading to effective resource allocation. The previous method doesn't analyze the defect pattern, and it has less performance during software development. This work introduces a deep learning-based Pattern-based Modified Hidden Markova Fault Tree (PMHMFT) framework to extract the hidden fault analysis during cross-project validation. The proposed Modified Hidden Markova Fault Tree algorithm constructs the defect fault tree to analyze the cross-project code defect. To prevent defect based on software metrics software prediction model are used. Hidden Markova Fault tree-based classification categorize component as defective and non-defective. Using a Levy flight, optimize the method to search the fault classes efficiently compared to another method. The Markova Fault Tree model construct fault tree based given data; it is easy to identify the fault in software platform. The proposed PMHMFT to implement evaluate the performance using k-fold validation. Thus, the proposed work on software defect prediction achieves higher accuracy in true classification and prediction with less error rate. The software defects are predicted, and these predicted defects are optimized by using Levy flight optimization. Our proposed PMHMFT technique is very useful technique for predicting software defect and gives the better prediction rates in effective manner.","","978-1-6654-7657-7","10.1109/ICTACS56270.2022.9988292","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9988292","Software Defect prediction;Hidden Markova Fault Tree algorithm;k-fold validation;deep learning","Source coding;Software algorithms;Hidden Markov models;Software quality;Predictive models;Prediction algorithms;Software","","1","","20","IEEE","28 Dec 2022","","","IEEE","IEEE Conferences"
"Accuracy Prediction of Ensemble Deep Learning Model through Software Defect Prediction","S. Charan; S. Sinha; S. M. Sujan; U. A. Nayak","Information Science and Engineering, Nitte Meenakshi Institute of Technology, Bangalore, India; Information Science and Engineering, Nitte Meenakshi Institute of Technology, Bangalore, India; Information Science and Engineering, Nitte Meenakshi Institute of Technology, Bangalore, India; Information Science and Engineering, Nitte Meenakshi Institute of Technology, Bangalore, India",2024 Second International Conference on Data Science and Information System (ICDSIS),"18 Jul 2024","2024","","","1","8","Defect detection and repair are critical to the performance and dependability of modern software development. To evaluate large software repositories and find errors early in the development process, this study proposes a novel deep learning (DL) method for software defect prediction (SDP). This work aims to methodically ascertain, and evaluate MLP, CNN, and LSTM models independently and finally ensemble it for better SDP. We examine the MLP, CNN, LSTM individually and compare them with the ensemble model. We achieved an accuracy of 0.78, indicating promising results for defect prediction in software development in imbalanced data set.","","979-8-3503-8166-5","10.1109/ICDSIS61070.2024.10594340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10594340","Multi-layer Perceptron;Long-Short Term Memory;Convolutional Neural Networks (CNN);Deep Learning;Principal component analysis (PCA).","Deep learning;Accuracy;Recurrent neural networks;Software quality;Predictive models;Software reliability;Maintenance","","1","","15","IEEE","18 Jul 2024","","","IEEE","IEEE Conferences"
"Hybrid Population Intelligence and Deep Learning Research for Software Defect Prediction","G. Pei; Z. Lu; J. Jin; R. Feng","Zhuhai College of Science and Technology, China; Zhuhai College of Science and Technology, China; Zhuhai College of Science and Technology, China; Zhuhai College of Science and Technology, China","2023 International Conference on Intelligent Computing, Communication & Convergence (ICI3C)","28 Oct 2024","2023","","","42","48","The goal of this project is to explore the topic of software defect prediction and provide a novel method for enhancing prediction model performance by fusing hybrid crowd intelligence with deep learning. In the study, we first use deep learning autoencoder for data dimensionality reduction, and achieve supervised pre-training of high-dimensional data by learning the intrinsic features of the data. Then, a deep neural network-based software defect prediction model was constructed, in which a hybrid population intelligence algorithm was used for hyperparameter optimisation. The hybrid algorithm combines the advantages of particle swarm optimisation and wolf pack algorithms for better global exploration and local optimisation when searching the hyperparameter space. In our experiments, we used a software defect dataset containing 58 features and compared the performance of five hyperparameter optimisation methods such as grid algorithm, stochastic algorithm, particle swarm algorithm, wolf pack algorithm and hybrid wolf pack algorithm. The experimental results show that the model using the hybrid wolfpack algorithm exhibits significant advantages in four evaluation metrics, including precision, recall, F-measure and AUC, and achieves more robust software defect prediction compared to other methods. This study not only promotes the application of deep learning in the field of software engineering, but also provides new empirical support for the effectiveness of group intelligence algorithms in software defect prediction.","","979-8-3503-4392-2","10.1109/ICI3C60830.2023.00019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10729750","Software defect prediction;deep learning;autoencoders;hyperparameter optimisation;hybrid population intelligence algorithms","Deep learning;Dimensionality reduction;Software algorithms;Optimization methods;Stochastic processes;Predictive models;Prediction algorithms;Software;Particle swarm optimization;Software engineering","","","","24","IEEE","28 Oct 2024","","","IEEE","IEEE Conferences"
"Research on software defect prediction technology based on deep learning","P. Jiang","College of Engineering, Northeastern University, Boston, USA",2021 2nd International Conference on Computing and Data Science (CDS),"5 Jul 2021","2021","","","104","107","To solve the problem that the traditional feature selection methods, such as PCA and LDA, are unable to get the nonlinear relationship between characteristics. Deep belief networks cannot eliminate the noise and missing value, which affect the accuracy of the software defect prediction (SDP) model. Not only the methods of feature selection, but data preprocessing and learning algorithm can also affect the precision of the defect prediction model. This thesis uses deep belief networks and SVM to construct an SDP model (DBN-SVM) to increase prediction precision. Using denoising autoencoders and SVM to build an SDP model (DA - SVM), compared with the DBN - SVM, DA - SVM model not only improves the prediction precision, but also enhance the robustness of the model. The thesis also proposes an SDP model framework which includes data preprocessing, feature selection and learning algorithm.","","978-1-6654-0428-0","10.1109/CDS52072.2021.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463239","software defect prediction;deep belief networks;support vector machine;denoising autoencoders;feature selection","Support vector machines;Software algorithms;Data preprocessing;Predictive models;Feature extraction;Prediction algorithms;Software","","3","","16","IEEE","5 Jul 2021","","","IEEE","IEEE Conferences"
