Global_ID	Database_Source	Search_Date	Record_ID_in_DB	Title	Authors	Year	DOI	Link_URL	Type	Record_Status	Duplicate_Group_I	Duplicate_Removal_Reason	Included_in_Unique_Set	Stage_1_R1	Stage_1_R2	Stage_1_Conflict	Stage_1_FinalDecision	Stage_1_Notes	Stage_2_FullText_Available	Stage_2_R1	Stage_2_R2	Stage_2_Conflict	Stage_2_FinalDecision	ExclusionReasonCode	ExclusionReasonDetail	FullText_FilePath	QA1	QA2	QA3	QA4	QA5	QA6	QA7	QA8	QA9	QA10	QA_Total	QA_Average	QA_IncludeFlag	Final_Inclusion_Status	Reason_if_Excluded	Notes
1	ACM	25-10-2025	1	Deep Learning for Software Defect Prediction: A Survey	Omri S,Sinz C	2020	10.1145/3387940.3391463	https://doi.org/10.1145/3387940.3391463;http://dx.doi.org/10.1145/3387940.3391463	Conference	unique	48		1	0	0	0	0							E2																		
2	ACM	25-10-2025	2	Combining Deep Learning and Kernel PCA for Software Defect Prediction	Ho A,Nhat Hai N,Thi-Mai-Anh B	2022	10.1145/3568562.3568587	https://doi.org/10.1145/3568562.3568587;http://dx.doi.org/10.1145/3568562.3568587	Conference	unique	45		1	1	1	0	1		1	1	1	0	1																	1		
3	ACM	25-10-2025	3	Software Defect Prediction using Multi-scale Structural Information	Tang F,He P	2023	10.1145/3594315.3594371	https://doi.org/10.1145/3594315.3594371;http://dx.doi.org/10.1145/3594315.3594371	Conference	unique			1	1	1	0	1		1	1	1	0	1																	1		
4	ACM	25-10-2025	4	Convolutional Neural Network-Based Research on Software Engineering Defect Prediction	Qiu X,Fan P,Ren J	2024	10.1145/3640115.3640164	https://doi.org/10.1145/3640115.3640164;http://dx.doi.org/10.1145/3640115.3640164	Conference	unique			1	1	1	0	1		1	1	1	0	1																	1		
5	ACM	25-10-2025	5	Robust Learning of Deep Predictive Models from Noisy and Imbalanced Software Engineering Datasets	Li Z,Pan M,Pei Y,Zhang T,Wang L,Li X	2023	10.1145/3551349.3556941	https://doi.org/10.1145/3551349.3556941;http://dx.doi.org/10.1145/3551349.3556941	Conference	unique			1	0	0	0	0							E3																		
6	ACM	25-10-2025	6	Deep just-in-time defect prediction: how far are we?	Zeng Z,Zhang Y,Zhang H,Zhang L	2021	10.1145/3460319.3464819	https://doi.org/10.1145/3460319.3464819;http://dx.doi.org/10.1145/3460319.3464819	Conference	unique			1	0	0	0	0							E3																		
7	ACM	25-10-2025	7	An Empirical Examination of the Impact of Bias on Just-in-time Defect Prediction	Gesi J,Li J,Ahmed I	2021	10.1145/3475716.3475791	https://doi.org/10.1145/3475716.3475791;http://dx.doi.org/10.1145/3475716.3475791	Conference	unique			1	0	0	0	0							E3																		
8	ACM	25-10-2025	8	ApacheJIT: a large dataset for just-in-time defect prediction	Keshavarz H,Nagappan M	2022	10.1145/3524842.3527996	https://doi.org/10.1145/3524842.3527996;http://dx.doi.org/10.1145/3524842.3527996	Conference	unique	41		1	0	0	0	0							E3																		
9	ACM	25-10-2025	9	Software visualization and deep transfer learning for effective software defect prediction	Chen J,Hu K,Yu Y,Chen Z,Xuan Q,Liu Y,Filkov V	2020	10.1145/3377811.3380389	https://doi.org/10.1145/3377811.3380389;http://dx.doi.org/10.1145/3377811.3380389	Conference	unique	1		1	1	1	0	1		1	1	1	0	1																	1		
10	ACM	25-10-2025	10	When representation learning meets software analysis	Fan M,Jia A,Liu J,Liu T,Chen W	2020	10.1145/3416506.3423578	https://doi.org/10.1145/3416506.3423578;http://dx.doi.org/10.1145/3416506.3423578	Conference	unique			1	0	0	0	0							E3																		
