Item type,Authors,Title,Journal,Publication year,DOI,URLs,Volume,Issue,Pages,Date published,ISSN,Abstract,Keywords,Notes
Journal Article,"Chen S,Jiang W",Feature selection-based web application defect prediction: a systematic review,International Journal of Web Information Systems,2024,10.1108/IJWIS-05-2025-0132,http://dx.doi.org/10.1108/IJWIS-05-2025-0132;https://www.sciencedirect.com/science/article/pii/S1744008424000077,21,4,545-561,2024,1744-0084,"Purpose This survey focuses on software defect prediction (SDP) in web applications, systematically analyzing recent advances in feature selection-based SDP methodologies. It aims to investigate the impact of different feature selection techniques, including filter, wrapper, embedding and hybrid methods, on prediction performance while summarizing current research trends and challenges. Design/methodology/approach To systematically analyze and summarize this research question, the authors collected relevant papers published between 2020 and 2024 from academic databases including Google Scholar, DBLP, ACM Digital Library, Springer Link, Web of Science and IEEE Xplore, using keywords such as Web application defect prediction (WADP), SDP, feature selection and software fault prediction. Findings This literature review, based on 40 core studies carefully selected from IEEE Xplore, Science Direct, ACM Digital Library and Springer Link, provides profound and valuable insights into the critical role of feature selection methods in WADP. Originality/value This study explores key research questions and highlights the popularity trends and notable advantages of filter, wrapper, embedding and hybrid methods. These findings lay a solid foundation for a comprehensive understanding of the current trends in feature – selection methods and establish a strong groundwork for future research aimed at enhancing the accuracy and efficiency of Web application defect – prediction models.","Deep learning, Machine learning, Feature selection, Web information systems, Defect prediction",
Journal Article,"Sivavelu S,Palanisamy V",Nonparametric Statistical Feature Scaling Based Quadratic Regressive Convolution Deep Neural Network for Software Fault Prediction,"Computers, Materials and Continua",2024,10.32604/cmc.2024.047407,http://dx.doi.org/10.32604/cmc.2024.047407;https://www.sciencedirect.com/science/article/pii/S1546221824003217,78,3,3469-3487,2024,1546-2218,"The development of defect prediction plays a significant role in improving software quality. Such predictions are used to identify defective modules before the testing and to minimize the time and cost. The software with defects negatively impacts operational costs and finally affects customer satisfaction. Numerous approaches exist to predict software defects. However, the timely and accurate software bugs are the major challenging issues. To improve the timely and accurate software defect prediction, a novel technique called Nonparametric Statistical feature scaled QuAdratic regressive convolution Deep nEural Network (SQADEN) is introduced. The proposed SQADEN technique mainly includes two major processes namely metric or feature selection and classification. First, the SQADEN uses the nonparametric statistical Torgerson–Gower scaling technique for identifying the relevant software metrics by measuring the similarity using the dice coefficient. The feature selection process is used to minimize the time complexity of software fault prediction. With the selected metrics, software fault perdition with the help of the Quadratic Censored regressive convolution deep neural network-based classification. The deep learning classifier analyzes the training and testing samples using the contingency correlation coefficient. The softstep activation function is used to provide the final fault prediction results. To minimize the error, the Nelder–Mead method is applied to solve non-linear least-squares problems. Finally, accurate classification results with a minimum error are obtained at the output layer. Experimental evaluation is carried out with different quantitative metrics such as accuracy, precision, recall, F-measure, and time complexity. The analyzed results demonstrate the superior performance of our proposed SQADEN technique with maximum accuracy, sensitivity and specificity by 3%, 3%, 2% and 3% and minimum time and space by 13% and 15% when compared with the two state-of-the-art methods.","Software defect prediction, feature selection, nonparametric statistical Torgerson–Gower scaling technique, quadratic censored regressive convolution deep neural network, softstep activation function, nelder–mead method",
Journal Article,"Nevendra M,Singh P",TRGNet: a deep transfer learning approach for software defect prediction,Expert Systems with Applications,2025,10.1016/j.eswa.2025.127799,http://dx.doi.org/10.1016/j.eswa.2025.127799;https://www.sciencedirect.com/science/article/pii/S0957417425014216,282,,127799,2025,0957-4174,"Software defect prediction (SDP) aims to automatically locate defective modules to find bugs and prioritise testing efforts. Researchers are now shifting into semantic features in order to develop predictive models for accurate prediction by using deep learning. But the source code conversion into the semantic feature fails to capture the essential features and correlation. This often degrades the performance of the prediction model. However, well-known authors have already shown the importance of software module metrics for software defect prediction. To take the advantage of software metrics via deep transfer learning in this paper, software module metrics are transformed into images. We proposed the TRGNet model, which extracts transferable features from source projects using pre-trained GoogLeNet and consolidates with a meta-estimator to minimize the divergence in sample distributions between projects. In this model, we feed the transformed image file of software modules to train it for within-project defect prediction (WPDP) and cross-project defect prediction (CPDP). The experimental results with AlexNet, ResNet, SqueezeNet, and other state-of-the-art models indicate that the proposed TRGNet model significantly improves the state-of-the-art defect prediction task by 13.31 % in WPDP and 16.88 % in CPDP scenarios. Moreover, the computational cost analysis reveals that TRGNet significantly reduces memory utilization while maintaining competitive training and inference times compared to other deep learning models, making it a highly efficient and scalable approach for SDP.","Deep transfer learning, GoogLeNet, Cross project defect prediction, Defect prediction, With-in project defect prediction",
Journal Article,"Zain ZM,Sakri S,Asmak Ismail NH,Parizi RM",Software Defect Prediction Harnessing on Multi 1-Dimensional Convolutional Neural Network Structure,"Computers, Materials and Continua",2021,10.32604/cmc.2022.022085,http://dx.doi.org/10.32604/cmc.2022.022085;https://www.sciencedirect.com/science/article/pii/S1546221821000989,71,1,1521-1546,2021,1546-2218,"Developing successful software with no defects is one of the main goals of software projects. In order to provide a software project with the anticipated software quality, the prediction of software defects plays a vital role. Machine learning, and particularly deep learning, have been advocated for predicting software defects, however both suffer from inadequate accuracy, overfitting, and complicated structure. In this paper, we aim to address such issues in predicting software defects. We propose a novel structure of 1-Dimensional Convolutional Neural Network (1D-CNN), a deep learning architecture to extract useful knowledge, identifying and modelling the knowledge in the data sequence, reduce overfitting, and finally, predict whether the units of code are defects prone. We design large-scale empirical studies to reveal the proposed model's effectiveness by comparing four established traditional machine learning baseline models and four state-of-the-art baselines in software defect prediction based on the NASA datasets. The experimental results demonstrate that in terms of f-measure, an optimal and modest 1D-CNN with a dropout layer outperforms baseline and state-of-the-art models by 66.79% and 23.88%, respectively, in ways that minimize overfitting and improving prediction performance for software defects. According to the results, 1D-CNN seems to be successful in predicting software defects and may be applied and adopted for a practical problem in software engineering. This, in turn, could lead to saving software development resources and producing more reliable software.","Defects, software defect prediction, deep learning, convolutional neural network, machine learning",
Journal Article,"Dong X,Liang Y,Miyamoto S,Yamaguchi S",Ensemble learning based software defect prediction,Journal of Engineering Research,2023,10.1016/j.jer.2023.10.038,http://dx.doi.org/10.1016/j.jer.2023.10.038;https://www.sciencedirect.com/science/article/pii/S2307187723002997,11,4,377-391,2023,2307-1877,"Currently, the cost to detect and solve software defects is a heavy burden on software projects. So, it is significant to predict software defects at the earlier stages of the software development lifecycle. In this study, seven commonly-used machine learning and deep learning algorithms were studied and the performance of defect classification on 4 representative public datasets from NASA and the PROMISE repository was demonstrated. Furthermore, three classical ensemble learning methods (Bagging, Boosting, and Stacking) were used to improve the prediction performance. Six metrics, including accuracy, precision, f1-score, recall, the area under the receiver operating characteristic curve (AUC), and G-Mean were utilized to evaluate the performance. It was noted that ensemble learning exceeded all the other seven algorithms. Ensemble learning achieved the highest AUC of 0.99, the highest G-Mean of 0.96, and an average F1-score of 0.97. Under a time-sensitive scenario, the Boosting method was a good choice as it spent less runtime and had a similar performance to the other two ensemble learning methods in most cases.","Software defect prediction, MLP, CNN, Ensemble learning",
Journal Article,"Mishra A,Sharma A",Deep learning based continuous integration and continuous delivery software defect prediction with effective optimization strategy,Knowledge-Based Systems,2024,10.1016/j.knosys.2024.111835,http://dx.doi.org/10.1016/j.knosys.2024.111835;https://www.sciencedirect.com/science/article/pii/S0950705124004696,296,,111835,2024,0950-7051,"Software defect prediction is one of the most difficult tasks in the IT sector. Continuous Integration and Continuous Delivery (CI/CD) software defect prediction is used in earlier stage, which consumes less amount of time. Various learning algorithms, such as convolutional neural networks and other machine learning algorithms (ML), are employed to forecast the flaws in the software model. In these existing algorithms, some issues are noticed, such as high computational complexity, excessive time consumption, the need for more energy to predict the model and a high-loss function. To address these issues, a novel deep learning (DL)-based CI/CD software defect prediction technique applying an effective optimization strategy is provided to improve the model's efficiency. The numerical data are collected from open source, and the obtained data is initially labeled based on time domain limitations. Initially, the Modified Synthetic Minority Over-Sampling Technique (M-SMOTE) mechanism is applied to balance the data to avoid overfitting problems, and data normalization is performed to rescale and normalize the data properly. After moralization, the optimal set of features is extracted from the data using Focal Bidirectional Encoder Representations from Transformers (F-BERT) to enhance the efficiency of the model. Finally, the software defects are predicted using Bidirectional Long Short-Term Memory (Bi-LSTM) integrated into the convolutional Gated recurrent units (GRU) model (Bi-CGRU) based on collected features. Hybrid Levy Rao (HLR) optimization is used to tune the hyperparameters properly in the classifier model. The proposed model's performance indicators are examined. The proposed model has a 95.32 % accuracy, a 93.3 % recall, a 94.98 % Matthews correlation coefficient, and an F1-score of 91.355 %. The proposed model generates less labeling noise and wait time than existing methods.","Gated recurrent units, Synthetic minority oversampling technique, Bidirectional encoder representations from transformers, Levy flight distribution, Rao optimization and bidirectional long short-term memory",
Journal Article,"Zain ZM,Sakri S,Ismail NH",Application of Deep Learning in Software Defect Prediction: Systematic Literature Review and Meta-analysis,Information and Software Technology,2023,10.1016/j.infsof.2023.107175,http://dx.doi.org/10.1016/j.infsof.2023.107175;https://www.sciencedirect.com/science/article/pii/S0950584923000290,158,,107175,2023,0950-5849,"Context Despite recent attention given to Software Defect Prediction (SDP), the lack of any systematic effort to assess existing empirical evidence on the application of Deep Learning (DL) in SDP indicates that it is still relatively under-researched. Objective To synthesize literature on SDP using DL, pertaining to measurements, models, techniques, datasets, and achievements; to obtain a full understanding of current SDP-related methodologies using DL; and to compare the DL models’ performances with those of Machine Learning (ML) models in classifying software defects. Method We completed a thorough review of the literature in this domain. To answer the research issues, results from primary investigations were synthesized. The preliminary findings for DL vs. ML in SDP were verified by using meta-analysis (MA). Result We discovered 63 primary studies that passed the systematic literature review quality evaluation. However, only 19 primary studies passed the MA quality evaluation. The five most popular performance measurements employed in SDP were f-measure, recall, accuracy, precision, and Area Under the Curve (AUC). The top five DL techniques used in building SDP models were Convolutional Neural Network (CNN), Deep Neural Network (DNN), Long Short-Term Memory (LSTM), Deep Belief Network (DBN), and Stacked Denoising Autoencoder (SDAE). PROMISE and NASA datasets were found to be used more frequently to train and test DL models in SDP. The MA results show that DL was favored over ML in terms of study and dataset across accuracy, f-measure, and AUC. Conclusion The application of DL in SDP remains a challenge, but it has the potential to achieve better predictive performance when the performance-influencing parameters are optimized. We provide a reference point for future research which could be used to improve research quality in this domain.","Deep Learning, Software Defect Prediction, Systematic Literature Review, Meta-Analysis",
Journal Article,"Han J,Huang C,Liu J",bjCnet: A contrastive learning-based framework for software defect prediction,Computers & Security,2024,10.1016/j.cose.2024.104024,http://dx.doi.org/10.1016/j.cose.2024.104024;https://www.sciencedirect.com/science/article/pii/S0167404824003298,145,,104024,2024,0167-4048,"Defect prediction based on deep learning is proposed to provide practitioners with reliable and practical tools to determine whether an area of code is defective. Compared with traditional code features, semantic features of source codes automatically extracted by neural networks can better reflect the semantic differences between codes. However, the small difference between some bug codes and clean codes poses a challenge for deep learning models in distinguishing them, leading to a low accuracy in defect prediction. In this paper, we propose bjCnet, a software defect prediction framework based on contrastive learning. It fine-tunes the pre-trained Transformer-based code large language model via a supervised contrastive learning network, achieving accurate defect prediction. We evaluate the prediction effect of bjCnet, the results demonstrate that the highest accuracy and f1-score achieved by bjCnet are both 0.948, surpassing the performance of the state-of-the-art approaches selected for comparison.","Deep learning, Defect prediction, Transformer, Large language model, Contrastive learning",
Journal Article,"Tong H,Liu B,Wang S",Software defect prediction using stacked denoising autoencoders and two-stage ensemble learning,Information and Software Technology,2018,10.1016/j.infsof.2017.11.008,http://dx.doi.org/10.1016/j.infsof.2017.11.008;https://www.sciencedirect.com/science/article/pii/S0950584917300113,96,,94-111,2018,0950-5849,"Context Software defect prediction (SDP) plays an important role in allocating testing resources reasonably, reducing testing costs, and ensuring software quality. However, software metrics used for SDP are almost entirely traditional features compared with deep representations (DPs) from deep learning. Although stacked denoising autoencoders (SDAEs) are powerful for feature learning and have been successfully applied in other fields, to the best of our knowledge, it has not been investigated in the field of SDP. Meanwhile, class-imbalance is still a pressing problem needing to be addressed. Objective In this paper, we propose a novel SDP approach, SDAEsTSE, which takes advantages of SDAEs and ensemble learning, namely the proposed two-stage ensemble (TSE). Method Our method mainly includes two phases: the deep learning phase and two-stage ensemble (TSE) phase. We first use SDAEs to extract the DPs from the traditional software metrics, and then a novel ensemble learning approach, TSE, is proposed to address the class-imbalance problem. Results Experiments are performed on 12 NASA datasets to demonstrate the effectiveness of DPs, the proposed TSE, and SDAEsTSE, respectively. The performance is evaluated in terms of F-measure, the area under the curve (AUC), and Matthews correlation coefficient (MCC). Generally, DPs, TSE, and SDAEsTSE contribute to significantly higher performance compared with corresponding traditional metrics, classic ensemble methods, and benchmark SDP models. Conclusions It can be concluded that (1) deep representations are promising for SDP compared with traditional software metrics, (2) TSE is more effective for addressing the class-imbalance problem in SDP compared with classic ensemble learning methods, and (3) the proposed SDAEsTSE is significantly effective for SDP.","Software defect prediction, Stacked denoising autoencoders, Ensemble learning, Software metrics, Deep learning",
Journal Article,"Malhotra R,Singh P",DHG-BiGRU: Dual-attention based hierarchical gated BiGRU for software defect prediction,Information and Software Technology,2025,10.1016/j.infsof.2024.107646,http://dx.doi.org/10.1016/j.infsof.2024.107646;https://www.sciencedirect.com/science/article/pii/S0950584924002519,179,,107646,2025,0950-5849,"Context: Software defect prediction (SDP) is a prominent research area focussed on anticipating defects early in the software lifecycle. Traditional machine learning models are based on static features, which are not enough to capture contextual information in the source code. In recent years, researchers have also developed deep learning models that extract semantic information from source code using the abstract syntax tree (AST). These approaches often combine static and semantic features by a simple merger operation. Objective: The article aims to address the limitations of the existing models by utilizing advanced feature extraction and integration techniques. It develops a deep learning model that can effectively prioritize the crucial features and intelligently combine the static and semantic features to provide robust predictions Method: The article proposes a novel model namely, dual-attention-based hierarchical gated BiGRU (DHG-BiGRU). The model first employs a static feature extractor (StatFE) and a semantic feature extractor (SemFE) to capture static and semantic features, respectively. Next, the outputs from StatFE and SemFE are passed to individual BiGRUs. The BiGRU output associated with the semantic features is subsequently processed by a dual attention mechanism (DAM), that captures the complex semantic information with emphasis on the most crucial features. Afterward, the hierarchical gated fusion (HGF) meticulously merges the static and semantic features. Finally, these integrated features are passed through a sigmoid function to predict defects. Results: The extensive experiments on extensively utilized datasets from the PROMISE repository reveal that DHG-BiGRU performs significantly better than the most advanced models and consistently achieves higher precision, recall and f-measure, demonstrating a reliable prediction capability. Conclusion: The results of the study underscore the potential advanced feature extraction and integration techniques for SDP. By achieving considerable improvements over state-of-the-art techniques, the proposed approach paves the way for sophisticated defect prediction models to improve software quality and reliability.","Software defect prediction, Software quality, Abstract syntax tree, Bidirectional gated recurrent unit, Deep semantic learning, Natural language processing",
