StudyID	FileName in DB	Aims	Dataset details	Data imbalance?	Architecture	Hyperparameter	#ofPerf Metrics	ComparedModels	StatisticalTests	Limitations/TtV	Total	Qualified
1	[1]2016 - Song Wang - Automatically Learning Semantic Features for Defect Prediction	1	1	1	0.5	1	0.5	1	0	1	7	1
2	[9]2020 - Jiehan Deng - Software defect prediction via LSTM	1	1	1	1	1	0.5	1	0	1	7.5	1
3	[10]2018 - Thomas shippey - Automatically identifying code features for software defect prediction- Using AST N-grams	1	1	0	0.5	0	0.5	0.5	1	1	5.5	1
4	[11]2019 - Hoa Khanh Dam - Lessons learned from using a deep tree-based model for software defect prediction in practice	1	1	0.5	1	1	1	0.5	0	1	7	1
5	[12]2019 - Hongliang Liang - Seml- A Semantic LSTM Model for Software Defect Prediction	1	0.5	1	1	1	1	1	1	1	8.5	1
6	[13]2023 - Ahmed Abdu - Graph-Based Feature Learning for Cross-Project Software Defect Prediction	1	1	0	1	0	0.5	1	1	1	6.5	1
7	[14]2017 - Jian Li - Software Defect Prediction via Convolutional Neural Network	1	1	1	0.5	1	0.5	1	0	1	7	1
8	[15]2020 - Qinchen Liu - Aging-Related Bugs Prediction Via Convolutional Neural Network	1	1	1	0.5	1	1	0.5	0	1	7	1
9	[16]2020 - Ke Shi - PathPair2Vec- An AST path pair-based code representation method for defect prediction	1	1	1	1	0	0.5	1	0	0	5.5	1
10	[17]2017 - VietPhan - Convolutional Neural Networks over Control Flow Graphs for Software Defect Prediction	1	1	0	1	0.5	0.5	1	0	0	5	1
11	[18]2020 - Jinyin Chen - Software Visualization and Deep Transfer Learning for Effective Software Defect Prediction	1	1	1	1	0.5	0.5	1	0	1	7	1
12	[19]2019 - Guisheng Fan - Deep Semantic Feature Learning with Embedded Static Metrics for Software Defect Prediction	1	1	1	1	1	0.5	1	1	0	7.5	1
13	[20]2020 - Junhao Lin - Semantic Feature Learning via Dual Sequences for Defect Prediction	1	1	1	1	1	1	1	1	1	9	1
14	[21]2019 - Shaojian Qiu - Transfer Convolutional Neural Network for Cross-Project Defect Prediction	1	1	1	1	1	0.5	1	1	1	8.5	1
15	[22]2021 - Hao Wang - Software Defect Prediction Based on Gated Hierarchical LSTM	1	1	0	1	1	1	1	1	1	8	1
16	[23]2018 - Xuan Huo - Learning Semantic Features for Software Defect Prediction by Code Comments Embedding	1	1	0	1	0.5	0.5	1	0	0	5	1
17	[28]2019 - YI LI - Improving Bug Detection via Context-Based Code Representation Learning and Attention-Based Neural Networks	1	1	0	1	1	1	1	0	1	7	1
18	[29]2020 - Xuan Zhou - Defect Prediction via LSTM Based on Sequence and Tree Structure	1	1	1	1	0	1	1	1	1	8	1
19	[32]2024 - Hongwei Tao - Cross-Project Defect Prediction Using Transfer Learning with Long Short-Term Memory Networks	1	1	1	1	0	1	1	0	1	7	1
20	[33]2022 - Jiaxi Xu - ACGDP- An Augmented Code Graph-Based System for Software Defect Prediction	1	1	0	1	1	1	0.5	0	1	6.5	1
21	[34]2024 - Fengyu Yang - LineFlowDP - A Deep Learning‐Based Two‐Phase Approach for Line‐Level Defect Prediction	1	1	0	1	1	1	1	1	1	8	1
22	[39]2023 - Chanathip Pornprasit - DeepLineDP-Towards a Deep Learning Approach for Line-Level Defect Prediction	1	1	0	1	1	1	1	1	1	8	1
23	[40]2022 - Xuanye Wang - Software Defect Prediction via GIN with Hybrid Graphical Features	1	1	0	0.5	1	1	1	0	0	5.5	1
24	[41]2024 - Ahmed Abdu - Semantic and traditional feature fusion for software defect prediction using hybrid deep learning model	1	1	1	1	0.5	1	1	1	0	7.5	1
25	[43]2022 - Lucija Sikic - Graph Neural Network for Source Code Defect Prediction	1	1	0	1	1	1	1	1	1	8	1
26	[47]2024 - Ha Thi Minh Phuong - A COMPARATIVE STUDY OF DEEP LEARNING TECHNIQUES IN SOFTWARE FAULT PREDICTION	1	1	0	1	0.5	1	0.5	0	0	5	1
27	[48]2019-Cong Pan -An Improved CNN Model for Within-Project Software Defect Prediction	1	1	1	1	1	1	1	1	1	9	1
28	[50]2021 - Hafiz Shahbaz Munir - Attention based GRU-LSTM for software defect prediction	1	1	0	1	0	1	1	0	0	5	1
29	[51]2022 - Fengyu Yang - Fine‐Grained Software Defect Prediction Based on the Method-Call Sequence	1	1	1	1	1	1	1	0	1	8	1
30	[53]2021 - Jiaxi Xu - Software Defect Prediction for Specific Defect Types based on Augmented Code Graph Representation	1	1	0	1	1	1	0.5	0	0	5.5	1
31	[54]2020 - Shi Meilong - An Approach to Semantic and Structural Features Learning for Software Defect Prediction	1	1	1	1	1	0.5	0	1	0	6.5	1
32	[55]2024 - Shaojian Qiu - Code Multiview Hypergraph Representation Learning for Software Defect Prediction	1	1	1	1	0.5	1	1	1	0	7.5	1
33	[56]2022 - Mansi Gupta - Cognitive Complexity and Graph Convolutional Approach Over Control Flow Graph for Software Defect Prediction	1	0.5	0	1	1	1	0.5	0	1	6	1
34	[59]2023 - Wenjun Yao - A Software Defect Prediction Method Based on Program Semantic Feature Mining	1	1	0	1	0.5	0.5	1	0	0	5	1
35	[60]2024 - Briciu - Enriching the Semantic Representation of the Source Code with Natural Language-Based Features from Comments for Improving the Performance of Software Defect Prediction	1	0.5	1	0.5	0	1	1	0	1	6	1
36	[61]2023 - Jiaxi Xu - FINDGATE- Fine-grained Defect Prediction Based on a Heterogeneous Discrete Code Graph-guided Attention Transformer	1	0.5	0	1	0	1	1	0	1	5.5	1
37	[63]2020 - Ke Shi - MPT-Embedding- An Unsupervised Representation Learning of Code for Software Defect Prediction	1	1	1	1	1	0.5	1	0	1	7.5	1
38	[64]2021- Huiqun Yu - A novel software defect prediction method based on hierarchial neural network	1	1	0	1	1	1	1	0	1	7	1
39	[65]2021 - Ahmed Bahaa Farid - Software defect prediction using hybrid model (CBIL) of convolutional neural network (CNN) and bidirectional long short-term memory (Bi-LSTM)	1	1	1	1	1	0.5	0.5	0	0	6	1
40	[66]2021 - Chen Lang - Software Defect Prediction via Multi-Channel Convolutional Neural Network	1	1	1	1	0.5	0.5	1	1	1	8	1
41	[67]2023 - Hengjie Song - Adversarial domain adaptation for cross-project defect prediction	1	1	1	1	1	1	1	1	1	9	1
42	[68]2024 - Siyu Jiang - Balanced Adversarial Tight Matching for Cross-Project Defect Prediction	1	1	0	1	1	1	1	1	1	8	1
43	[69]2023 - Shaojian Qiu BAFLineDP- Code Bilinear Attention Fusion	1	1	1	1	0	1	1	1	1	8	1
44	[70]2023 - Hao Shen - EDP-BGCNN- Effective Defect Prediction via BERT-based Graph Convolutional Neural Network	1	1	1	0.5	0	1	1	1	1	7.5	1
45	[71]2021 - Cheng Zeng - GCN2defect - Graph Convolutional Networks for SMOTETomek-based Software Defect Prediction	1	1	1	1	0	0.5	1	0	0	5.5	1
46	[72]2021 - Dingbang Fang - EPR- a Neural Network for Automatic Feature Learning from Code for Defect Prediction	1	1	1	1	1	0.5	1	0	1	7.5	1
